s1;s2;sensor_1_v;sensor_2_v;sensor_3_v;sensor_4_v;sensor_5_v;sensor_6_v;sensor_7_v;sensor_8_v;sensor_9_v;sensor_10_v;sensor_11_v;sensor_12_v;sensor_1_c;sensor_2_c;sensor_3_c;sensor_4_c;sensor_5_c;sensor_6_c;sensor_7_c;sensor_8_c;sensor_9_c;sensor_10_c;sensor_11_c;sensor_12_c;
True;True;10499.59851086872;10499.59851086872;10499.59851086872;10499.596637520068;10499.596637520068;10499.594158675878;10499.594158675878;10499.594158675878;10499.583800749224;10499.583800749224;10499.583800749224;10499.583800749224;0.09424597310076244;0.0494244576988012;0.04254831796475178;0.04254831796475178;0.028150298716426016;0.028150298716426016;0.0494244576988012;0.01002739896560353;0.028387725620982896;0.028387725620982896;0.006536505965861461;0.031139242679854115;
True;True;10499.59851086872;10499.59851086872;10499.59851086872;10499.596637520068;10499.596637520068;10499.594158675878;10499.594158675878;10499.594158675878;10499.583800749224;10499.583800749224;10499.583800749224;10499.583800749224;0.09424597310076244;0.0494244576988012;0.04254831796475178;0.04254831796475178;0.028150298716426016;0.028150298716426016;0.0494244576988012;0.01002739896560353;0.028387725620982896;0.028387725620982896;0.006536505965861461;0.031139242679854115;
True;True;10499.59851086872;10499.59851086872;10499.59851086872;10499.596637520068;10499.596637520068;10499.594158675878;10499.594158675878;10499.594158675878;10499.583800749224;10499.583800749224;10499.583800749224;10499.583800749224;0.09424597310076244;0.0494244576988012;0.04254831796475178;0.04254831796475178;0.028150298716426016;0.028150298716426016;0.0494244576988012;0.01002739896560353;0.028387725620982896;0.028387725620982896;0.006536505965861461;0.031139242679854115;
True;True;10499.59851086872;10499.59851086872;10499.59851086872;10499.596637520068;10499.596637520068;10499.594158675878;10499.594158675878;10499.594158675878;10499.583800749224;10499.583800749224;10499.583800749224;10499.583800749224;0.09424597310076244;0.0494244576988012;0.04254831796475178;0.04254831796475178;0.028150298716426016;0.028150298716426016;0.0494244576988012;0.01002739896560353;0.028387725620982896;0.028387725620982896;0.006536505965861461;0.031139242679854115;
True;True;10499.489069721321;10499.489069721321;10499.489069721321;10499.486565934661;10499.486565934661;10499.483654282401;10499.483654282401;10499.483654282401;10499.471998548312;10499.471998548312;10499.471998548312;10499.471998548312;0.1359238173752139;0.0614989131637933;0.05686710303085959;0.05686710303085959;0.03306536164836479;0.03306536164836479;0.0614989131637933;0.015517598548201011;0.03397867611779599;0.03397867611779599;0.0068465317025341674;0.03584818036792421;
True;True;10499.489069721321;10499.489069721321;10499.489069721321;10499.486565934661;10499.486565934661;10499.483654282401;10499.483654282401;10499.483654282401;10499.471998548312;10499.471998548312;10499.471998548312;10499.471998548312;0.1359238173752139;0.0614989131637933;0.05686710303085959;0.05686710303085959;0.03306536164836479;0.03306536164836479;0.0614989131637933;0.015517598548201011;0.03397867611779599;0.03397867611779599;0.0068465317025341674;0.03584818036792421;
True;True;10499.489069721321;10499.489069721321;10499.489069721321;10499.486565934661;10499.486565934661;10499.483654282401;10499.483654282401;10499.483654282401;10499.471998548312;10499.471998548312;10499.471998548312;10499.471998548312;0.1359238173752139;0.0614989131637933;0.05686710303085959;0.05686710303085959;0.03306536164836479;0.03306536164836479;0.0614989131637933;0.015517598548201011;0.03397867611779599;0.03397867611779599;0.0068465317025341674;0.03584818036792421;
True;True;10499.489069721321;10499.489069721321;10499.489069721321;10499.486565934661;10499.486565934661;10499.483654282401;10499.483654282401;10499.483654282401;10499.471998548312;10499.471998548312;10499.471998548312;10499.471998548312;0.1359238173752139;0.0614989131637933;0.05686710303085959;0.05686710303085959;0.03306536164836479;0.03306536164836479;0.0614989131637933;0.015517598548201011;0.03397867611779599;0.03397867611779599;0.0068465317025341674;0.03584818036792421;
True;True;10499.373906827146;10499.373906827146;10499.373906827146;10499.371124702424;10499.371124702424;10499.36824080159;10499.36824080159;10499.36824080159;10499.354944301385;10499.354944301385;10499.354944301385;10499.354944301385;0.15187765584618745;0.06434462861910338;0.06318883876945927;0.06318883876945927;0.03275020923437547;0.03275020923437547;0.06434462861910338;0.018116760844004737;0.03419661176424765;0.03419661176424765;0.00529417539368561;0.04542261547708629;
True;True;10499.373906827146;10499.373906827146;10499.373906827146;10499.371124702424;10499.371124702424;10499.36824080159;10499.36824080159;10499.36824080159;10499.354944301385;10499.354944301385;10499.354944301385;10499.354944301385;0.15187765584618745;0.06434462861910338;0.06318883876945927;0.06318883876945927;0.03275020923437547;0.03275020923437547;0.06434462861910338;0.018116760844004737;0.03419661176424765;0.03419661176424765;0.00529417539368561;0.04542261547708629;
True;True;10499.373906827146;10499.373906827146;10499.373906827146;10499.371124702424;10499.371124702424;10499.36824080159;10499.36824080159;10499.36824080159;10499.354944301385;10499.354944301385;10499.354944301385;10499.354944301385;0.15187765584618745;0.06434462861910338;0.06318883876945927;0.06318883876945927;0.03275020923437547;0.03275020923437547;0.06434462861910338;0.018116760844004737;0.03419661176424765;0.03419661176424765;0.00529417539368561;0.04542261547708629;
True;True;10499.373906827146;10499.373906827146;10499.373906827146;10499.371124702424;10499.371124702424;10499.36824080159;10499.36824080159;10499.36824080159;10499.354944301385;10499.354944301385;10499.354944301385;10499.354944301385;0.15187765584618745;0.06434462861910338;0.06318883876945927;0.06318883876945927;0.03275020923437547;0.03275020923437547;0.06434462861910338;0.018116760844004737;0.03419661176424765;0.03419661176424765;0.00529417539368561;0.04542261547708629;
True;True;10499.373906827146;10499.373906827146;10499.373906827146;10499.371124702424;10499.371124702424;10499.36824080159;10499.36824080159;10499.36824080159;10499.354944301385;10499.354944301385;10499.354944301385;10499.354944301385;0.15187765584618745;0.06434462861910338;0.06318883876945927;0.06318883876945927;0.03275020923437547;0.03275020923437547;0.06434462861910338;0.018116760844004737;0.03419661176424765;0.03419661176424765;0.00529417539368561;0.04542261547708629;
True;True;10499.400708409035;10499.400708409035;10499.400708409035;10499.397919724495;10499.397919724495;10499.394466233602;10499.394466233602;10499.394466233602;10499.379293510097;10499.379293510097;10499.379293510097;10499.379293510097;0.15194165431264103;0.07088751119043059;0.06333782629918154;0.06333782629918154;0.03921859804084209;0.03921859804084209;0.07088751119043059;0.018423394344643275;0.03889386129544107;0.03889386129544107;0.006535725729863224;0.05168472149789963;
True;True;10499.400708409035;10499.400708409035;10499.400708409035;10499.397919724495;10499.397919724495;10499.394466233602;10499.394466233602;10499.394466233602;10499.379293510097;10499.379293510097;10499.379293510097;10499.379293510097;0.15194165431264103;0.07088751119043059;0.06333782629918154;0.06333782629918154;0.03921859804084209;0.03921859804084209;0.07088751119043059;0.018423394344643275;0.03889386129544107;0.03889386129544107;0.006535725729863224;0.05168472149789963;
True;True;10499.400708409035;10499.400708409035;10499.400708409035;10499.397919724495;10499.397919724495;10499.394466233602;10499.394466233602;10499.394466233602;10499.379293510097;10499.379293510097;10499.379293510097;10499.379293510097;0.15194165431264103;0.07088751119043059;0.06333782629918154;0.06333782629918154;0.03921859804084209;0.03921859804084209;0.07088751119043059;0.018423394344643275;0.03889386129544107;0.03889386129544107;0.006535725729863224;0.05168472149789963;
True;True;10499.443403448702;10499.443403448702;10499.443403448702;10499.440702698597;10499.440702698597;10499.436574106252;10499.436574106252;10499.436574106252;10499.419734279747;10499.419734279747;10499.419734279747;10499.419734279747;0.14526436208469962;0.07755550701755343;0.06134061881540347;0.06134061881540347;0.04688519760985439;0.04688519760985439;0.07755550701755343;0.015660925935652756;0.04259696973677363;0.04259696973677363;0.00892689458350275;0.05403895823057024;
True;True;10499.443403448702;10499.443403448702;10499.443403448702;10499.440702698597;10499.440702698597;10499.436574106252;10499.436574106252;10499.436574106252;10499.419734279747;10499.419734279747;10499.419734279747;10499.419734279747;0.14526436208469962;0.07755550701755343;0.06134061881540347;0.06134061881540347;0.04688519760985439;0.04688519760985439;0.07755550701755343;0.015660925935652756;0.04259696973677363;0.04259696973677363;0.00892689458350275;0.05403895823057024;
True;True;10499.443403448702;10499.443403448702;10499.443403448702;10499.440702698597;10499.440702698597;10499.436574106252;10499.436574106252;10499.436574106252;10499.419734279747;10499.419734279747;10499.419734279747;10499.419734279747;0.14526436208469962;0.07755550701755343;0.06134061881540347;0.06134061881540347;0.04688519760985439;0.04688519760985439;0.07755550701755343;0.015660925935652756;0.04259696973677363;0.04259696973677363;0.00892689458350275;0.05403895823057024;
True;True;10499.443403448702;10499.443403448702;10499.443403448702;10499.440702698597;10499.440702698597;10499.436574106252;10499.436574106252;10499.436574106252;10499.419734279747;10499.419734279747;10499.419734279747;10499.419734279747;0.14526436208469962;0.07755550701755343;0.06134061881540347;0.06134061881540347;0.04688519760985439;0.04688519760985439;0.07755550701755343;0.015660925935652756;0.04259696973677363;0.04259696973677363;0.00892689458350275;0.05403895823057024;